domain,problem,time,result
rovers,p10.pddl,5.368464231491089,NON_ROBUST_SINGLE_AGENT
rovers,p18.pddl,10.550096988677979,NON_ROBUST_SINGLE_AGENT
rovers,p14.pddl,5.830258369445801,NON_ROBUST_SINGLE_AGENT
sokoban-sat11-strips,p07.pddl,122.22812843322754,NON_ROBUST_SINGLE_AGENT
sokoban-sat11-strips,p01.pddl,124.40088081359863,NON_ROBUST_SINGLE_AGENT
rovers,p30.pddl,93.908686876297,NON_ROBUST_SINGLE_AGENT
rovers,p20.pddl,21.108532428741455,NON_ROBUST_SINGLE_AGENT
sokoban-sat11-strips,p13.pddl,285.44016790390015,NON_ROBUST_SINGLE_AGENT
rovers,p11.pddl,5.67951512336731,NON_ROBUST_SINGLE_AGENT
sokoban-sat11-strips,p15.pddl,315.15852975845337,NON_ROBUST_SINGLE_AGENT
rovers,p23.pddl,67.23082399368286,NON_ROBUST_SINGLE_AGENT
rovers,p13.pddl,5.186099290847778,NON_ROBUST_SINGLE_AGENT
rovers,p31.pddl,144.34562039375305,NON_ROBUST_SINGLE_AGENT
rovers,p15.pddl,6.293909311294556,NON_ROBUST_SINGLE_AGENT
rovers,p19.pddl,10.751854419708252,NON_ROBUST_SINGLE_AGENT
sokoban-sat11-strips,p02.pddl,280.7915210723877,NON_ROBUST_SINGLE_AGENT
rovers,p28.pddl,78.43917632102966,NON_ROBUST_SINGLE_AGENT
rovers,p06.pddl,4.462491750717163,NON_ROBUST_SINGLE_AGENT
rovers,p09.pddl,9.880290508270264,NON_ROBUST_SINGLE_AGENT
rovers,p24.pddl,41.27328276634216,NON_ROBUST_SINGLE_AGENT
rovers,p01.pddl,4.337389230728149,NON_ROBUST_SINGLE_AGENT
rovers,p22.pddl,37.349262714385986,NON_ROBUST_SINGLE_AGENT
rovers,p21.pddl,26.950870037078857,NON_ROBUST_SINGLE_AGENT
rovers,p29.pddl,161.12582397460938,NON_ROBUST_SINGLE_AGENT
rovers,p17.pddl,8.1932053565979,NON_ROBUST_SINGLE_AGENT
rovers,p34.pddl,252.17440462112427,NON_ROBUST_SINGLE_AGENT
sokoban-sat11-strips,p17.pddl,411.3385307788849,NON_ROBUST_SINGLE_AGENT
rovers,p35.pddl,307.9790201187134,NON_ROBUST_SINGLE_AGENT
rovers,p26.pddl,204.04013180732727,NON_ROBUST_SINGLE_AGENT
rovers,p32.pddl,209.45709872245789,NON_ROBUST_SINGLE_AGENT
rovers,p33.pddl,441.58717012405396,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p16.pddl,109.04110717773438,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p25.pddl,125.10806131362915,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p03.pddl,23.924267530441284,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p05.pddl,112.97871613502502,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p04.pddl,89.9015462398529,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p12.pddl,154.1046142578125,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p30.pddl,292.2713191509247,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p14.pddl,111.75112962722778,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p27.pddl,304.0300416946411,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p08.pddl,248.0329134464264,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p11.pddl,55.32902407646179,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p15.pddl,79.08302211761475,NON_ROBUST_SINGLE_AGENT
